Loan Amount          : $20000.00
Annual Interest Rate : 0.00
Years to repay       : 5.00
Monthly Payment      : $359.37
Total Pay Back       : $21562.43

Pmt#	Payment Amount	Interest	Contrib to principle	Remaining balance
1	359.37		50.00			309.37		19690.63
2	359.37		49.23			310.15		19380.48
3	359.37		48.45			310.92		19069.56
4	359.37		47.67			311.70		18757.86
5	359.37		46.89			312.48		18445.38
6	359.37		46.11			313.26		18132.12
7	359.37		45.33			314.04		17818.07
8	359.37		44.55			314.83		17503.24
9	359.37		43.76			315.62		17187.63
10	359.37		42.97			316.40		16871.22
11	359.37		42.18			317.20		16554.03
12	359.37		41.39			317.99		16236.04
13	359.37		40.59			318.78		15917.26
14	359.37		39.79			319.58		15597.68
15	359.37		38.99			320.38		15277.30
16	359.37		38.19			321.18		14956.12
17	359.37		37.39			321.98		14634.13
18	359.37		36.59			322.79		14311.34
19	359.37		35.78			323.60		13987.75
20	359.37		34.97			324.40		13663.34
21	359.37		34.16			325.22		13338.13
22	359.37		33.35			326.03		13012.10
23	359.37		32.53			326.84		12685.26
24	359.37		31.71			327.66		12357.60
25	359.37		30.89			328.48		12029.12
26	359.37		30.07			329.30		11699.81
27	359.37		29.25			330.12		11369.69
28	359.37		28.42			330.95		11038.74
29	359.37		27.60			331.78		10706.96
30	359.37		26.77			332.61		10374.36
31	359.37		25.94			333.44		10040.92
32	359.37		25.10			334.27		9706.65
33	359.37		24.27			335.11		9371.54
34	359.37		23.43			335.94		9035.60
35	359.37		22.59			336.78		8698.81
36	359.37		21.75			337.63		8361.18
37	359.37		20.90			338.47		8022.71
38	359.37		20.06			339.32		7683.40
39	359.37		19.21			340.17		7343.23
40	359.37		18.36			341.02		7002.21
41	359.37		17.51			341.87		6660.35
42	359.37		16.65			342.72		6317.62
43	359.37		15.79			343.58		5974.04
44	359.37		14.94			344.44		5629.61
45	359.37		14.07			345.30		5284.31
46	359.37		13.21			346.16		4938.14
47	359.37		12.35			347.03		4591.11
48	359.37		11.48			347.90		4243.22
49	359.37		10.61			348.77		3894.45
50	359.37		9.74			349.64		3544.81
51	359.37		8.86			350.51		3194.30
52	359.37		7.99			351.39		2842.91
53	359.37		7.11			352.27		2490.65
54	359.37		6.23			353.15		2137.50
55	359.37		5.34			354.03		1783.47
56	359.37		4.46			354.92		1428.56
57	359.37		3.57			355.80		1072.75
58	359.37		2.68			356.69		716.06
59	359.37		1.79			357.58		358.48
60	359.37		0.90			358.48		-0.00
